Fecha,Cliente,Operador,Plan tarifario,Direccion,Tipo de llamada,Estado,Numero de llamadas,Duracion total (s),Duracion con espera (s),Espera total (s),Duracion por llamada (s),Espera por llamada (s)
2019-11-25,168361,945288,A,Saliente,Externa,Contestada,99,9966,11669,1703,100.67,17.2
2019-11-25,168361,,A,Entrante,Externa,Perdida,465,0,1012,1012,0.0,2.18
2019-11-26,168361,945302,A,Saliente,Externa,Contestada,96,6074,8274,2200,63.27,22.92
2019-11-26,168361,945314,A,Saliente,Externa,Contestada,80,7271,8684,1413,90.89,17.66
2019-11-26,168361,965542,A,Saliente,Externa,Perdida,55,0,1850,1850,0.0,33.64
2019-11-26,168361,945322,A,Saliente,Externa,Perdida,93,0,2384,2384,0.0,25.63
2019-11-26,168361,,A,Entrante,Externa,Perdida,604,0,1331,1331,0.0,2.2
2019-11-26,168361,945290,A,Saliente,Externa,Contestada,36,1224,2171,947,34.0,26.31
2019-11-26,168361,945286,A,Saliente,Externa,Contestada,115,4293,6820,2527,37.33,21.97
2019-11-26,168361,945310,A,Saliente,Externa,Contestada,75,16418,18165,1747,218.91,23.29
2019-11-26,168361,965544,A,Saliente,Externa,Perdida,200,0,4342,4342,0.0,21.71
2019-11-26,168361,945318,A,Saliente,Externa,Perdida,31,0,415,415,0.0,13.39
2019-11-26,168361,945318,A,Saliente,Externa,Contestada,60,6828,7926,1098,113.8,18.3
2019-11-26,168361,965542,A,Saliente,Externa,Contestada,78,10539,12084,1545,135.12,19.81
2019-11-26,168361,945278,A,Saliente,Externa,Contestada,62,9841,10990,1149,158.73,18.53
2019-11-26,168361,945316,A,Saliente,Externa,Contestada,83,6047,7860,1813,72.86,21.84
2019-11-26,168361,965544,A,Saliente,Externa,Contestada,102,12989,14963,1974,127.34,19.35
2019-11-26,168361,945288,A,Saliente,Externa,Perdida,18,0,630,630,0.0,35.0
2019-11-26,168361,965538,A,Saliente,Externa,Perdida,42,0,802,802,0.0,19.1
2019-11-26,168361,945304,A,Saliente,Externa,Contestada,66,7919,9112,1193,119.98,18.08
2019-11-26,168361,945286,A,Saliente,Externa,Perdida,152,0,2630,2630,0.0,17.3
2019-11-26,168361,945316,A,Saliente,Externa,Perdida,109,0,2638,2638,0.0,24.2
2019-11-26,168361,945310,A,Saliente,Externa,Perdida,45,0,1422,1422,0.0,31.6
2019-11-26,168361,945288,A,Saliente,Externa,Contestada,58,6037,6940,903,104.09,15.57
2019-11-26,168361,945302,A,Saliente,Externa,Perdida,77,0,2347,2347,0.0,30.48
2019-11-26,168361,965538,A,Saliente,Externa,Contestada,59,9726,10881,1155,164.85,19.58
2019-11-26,168361,945314,A,Saliente,Externa,Perdida,47,0,1217,1217,0.0,25.89
2019-11-26,168361,965540,A,Saliente,Externa,Perdida,15,0,617,617,0.0,41.13
2019-11-26,168361,945320,A,Saliente,Externa,Perdida,54,0,1117,1117,0.0,20.69
2019-11-26,168361,945320,A,Saliente,Externa,Contestada,66,6653,8081,1428,100.8,21.64
2019-11-26,168361,945290,A,Saliente,Externa,Perdida,22,0,645,645,0.0,29.32
2019-11-26,168361,965540,A,Saliente,Externa,Contestada,55,9940,10706,766,180.73,13.93
2019-11-26,168361,945322,A,Saliente,Externa,Contestada,129,8138,10921,2783,63.09,21.57
2019-11-26,168361,945278,A,Saliente,Externa,Perdida,63,0,1161,1161,0.0,18.43
2019-11-26,168361,945304,A,Saliente,Externa,Perdida,42,0,780,780,0.0,18.57
2019-11-27,168361,945312,A,Saliente,Externa,Perdida,44,0,1124,1124,0.0,25.55
2019-11-27,168361,945314,A,Saliente,Externa,Perdida,8,0,145,145,0.0,18.12
2019-11-27,168361,945286,A,Saliente,Externa,Contestada,159,4725,8206,3481,29.72,21.89
2019-11-27,168361,965538,A,Saliente,Externa,Perdida,21,0,434,434,0.0,20.67
2019-11-27,168361,945290,A,Saliente,Externa,Contestada,47,1549,2608,1059,32.96,22.53
2019-11-27,168361,945314,A,Saliente,Externa,Contestada,18,2334,2692,358,129.67,19.89
2019-11-27,168361,945302,A,Saliente,Externa,Contestada,88,13618,15173,1555,154.75,17.67
2019-11-27,168361,945294,A,Saliente,Externa,Contestada,120,13997,16165,2168,116.64,18.07
2019-11-27,168361,945296,A,Saliente,Externa,Contestada,31,3405,3946,541,109.84,17.45
2019-11-27,168361,945284,A,Saliente,Externa,Perdida,53,0,1001,1001,0.0,18.89
2019-11-27,168361,945284,A,Saliente,Externa,Contestada,72,4724,5928,1204,65.61,16.72
2019-11-27,168361,945280,A,Saliente,Externa,Contestada,59,7802,8678,876,132.24,14.85
2019-11-27,168361,,A,Entrante,Externa,Perdida,698,0,1500,1500,0.0,2.15
2019-11-27,168361,945294,A,Saliente,Externa,Perdida,71,0,1608,1608,0.0,22.65
2019-11-27,168361,945324,A,Saliente,Externa,Perdida,23,0,769,769,0.0,33.43
2019-11-27,168361,945286,A,Saliente,Externa,Perdida,236,0,3631,3631,0.0,15.39
2019-11-27,168361,945312,A,Saliente,Externa,Contestada,75,12093,13550,1457,161.24,19.43
2019-11-27,168361,945322,A,Saliente,Externa,Perdida,119,0,2352,2352,0.0,19.76
2019-11-27,168361,945316,A,Saliente,Externa,Perdida,21,0,395,395,0.0,18.81
2019-11-27,168361,945324,A,Saliente,Externa,Contestada,73,9022,10234,1212,123.59,16.6
2019-11-27,168361,945316,A,Saliente,Externa,Contestada,39,5886,6491,605,150.92,15.51
2019-11-27,168361,965538,A,Saliente,Externa,Contestada,35,4491,5090,599,128.31,17.11
2019-11-27,168361,945298,A,Saliente,Externa,Perdida,11,0,341,341,0.0,31.0
2019-11-27,168361,945282,A,Saliente,Externa,Perdida,36,0,892,892,0.0,24.78
2019-11-27,168361,,A,Saliente,Externa,Perdida,3,0,2,2,0.0,0.67
